
[Name]
IGV Blade

[Data]
X [ m ], Y [ m ], Z [ m ]
1.53771574e-02, 2.54281610e-01, 7.95523054e-04
1.61496010e-02, 2.54981816e-01, 7.48049177e-04
1.69073790e-02, 2.55667895e-01, 6.97941345e-04
1.76462475e-02, 2.56335407e-01, 6.45921507e-04
1.83583274e-02, 2.56978244e-01, 5.93003817e-04
1.90318786e-02, 2.57585317e-01, 5.40586247e-04
1.96478125e-02, 2.58138955e-01, 4.90781851e-04
1.54586812e-03, 2.43003815e-01, 5.15217835e-04
2.04128725e-03, 2.43484586e-01, 5.83247282e-04
2.58992054e-03, 2.44019613e-01, 6.52190764e-04
3.19578615e-03, 2.44587377e-01, 7.20526848e-04
3.84233356e-03, 2.45186195e-01, 7.84261152e-04
4.51886281e-03, 2.45811895e-01, 8.40949418e-04
5.22630848e-03, 2.46453345e-01, 8.89759103e-04
5.95511496e-03, 2.47111514e-01, 9.29366681e-04
6.70011062e-03, 2.47783706e-01, 9.59408761e-04
7.45900301e-03, 2.48467043e-01, 9.80021083e-04
8.22843798e-03, 2.49159500e-01, 9.91560519e-04
9.00605600e-03, 2.49857545e-01, 9.94565315e-04
9.78943612e-03, 2.50560373e-01, 9.89660854e-04
1.05776545e-02, 2.51266241e-01, 9.77525488e-04
1.13686267e-02, 2.51973897e-01, 9.58757941e-04
1.21608572e-02, 2.52682000e-01, 9.33967298e-04
1.29530905e-02, 2.53389031e-01, 9.03726497e-04
1.37428334e-02, 2.54093736e-01, 8.68562260e-04
1.45285670e-02, 2.54793316e-01, 8.28980410e-04
1.53067177e-02, 2.55485862e-01, 7.85569893e-04
1.60743464e-02, 2.56167144e-01, 7.38906208e-04
1.68273523e-02, 2.56834358e-01, 6.89651177e-04
1.75616071e-02, 2.57483155e-01, 6.38508936e-04
1.82691962e-02, 2.58107811e-01, 5.86479378e-04
1.89386774e-02, 2.58697599e-01, 5.34924795e-04
1.95512753e-02, 2.59235412e-01, 4.85903030e-04
1.55859347e-03, 2.44764492e-01, 5.11357794e-04
2.05270201e-03, 2.45230615e-01, 5.78442239e-04
2.59886845e-03, 2.45748907e-01, 6.46263361e-04
3.20110214e-03, 2.46298522e-01, 7.13262241e-04
3.84339457e-03, 2.46878088e-01, 7.75632216e-04
4.51548072e-03, 2.47483432e-01, 8.31072219e-04
5.21809189e-03, 2.48103946e-01, 8.78695748e-04
5.94198983e-03, 2.48740420e-01, 9.17294470e-04
6.68205041e-03, 2.49390349e-01, 9.46536893e-04
7.43603427e-03, 2.50050813e-01, 9.66556603e-04
8.20054300e-03, 2.50719994e-01, 9.77713033e-04
8.97331815e-03, 2.51394242e-01, 9.80524346e-04
9.75184981e-03, 2.52072990e-01, 9.75609466e-04
1.05352327e-02, 2.52754420e-01, 9.63633356e-04
1.13213509e-02, 2.53437340e-01, 9.45184671e-04
1.21086752e-02, 2.54120499e-01, 9.20851831e-04
1.28959743e-02, 2.54802316e-01, 8.91210977e-04
1.36806918e-02, 2.55481750e-01, 8.56772414e-04
1.44614037e-02, 2.56155819e-01, 8.18017754e-04
1.52344862e-02, 2.56822944e-01, 7.75537395e-04
1.59971435e-02, 2.57478744e-01, 7.29867024e-04
1.67452246e-02, 2.58120686e-01, 6.81658974e-04
1.74747240e-02, 2.58744508e-01, 6.31584262e-04
1.81776807e-02, 2.59344906e-01, 5.80623164e-04
1.88429710e-02, 2.59911686e-01, 5.30084828e-04
1.94521509e-02, 2.60428458e-01, 4.81957133e-04
1.57259381e-03, 2.46893778e-01, 5.10356971e-04
2.06588511e-03, 2.47341812e-01, 5.77215687e-04
2.60996609e-03, 2.47839466e-01, 6.44558051e-04
3.20880557e-03, 2.48366669e-01, 7.10872817e-04
3.84704373e-03, 2.48922497e-01, 7.72498839e-04
4.51493030e-03, 2.49502718e-01, 8.27218813e-04
5.21292724e-03, 2.50097454e-01, 8.74167774e-04
5.93217136e-03, 2.50707179e-01, 9.12192685e-04
6.66758046e-03, 2.51329690e-01, 9.40983766e-04
7.41696963e-03, 2.51961976e-01, 9.60679085e-04
8.17687530e-03, 2.52602488e-01, 9.71632602e-04
8.94515216e-03, 2.53247499e-01, 9.74361727e-04
9.71917436e-03, 2.53896654e-01, 9.69471410e-04
1.04980618e-02, 2.54548043e-01, 9.57607990e-04
1.12796519e-02, 2.55200595e-01, 9.39360529e-04
1.20623745e-02, 2.55853087e-01, 9.15304176e-04
1.28450226e-02, 2.56503940e-01, 8.85994406e-04
1.36249615e-02, 2.57152349e-01, 8.51942110e-04
1.44008845e-02, 2.57795125e-01, 8.13609571e-04
1.51690925e-02, 2.58431047e-01, 7.71572988e-04
1.59269683e-02, 2.59055644e-01, 7.26350700e-04
1.66702867e-02, 2.59666592e-01, 6.78583398e-04
1.73951890e-02, 2.60259837e-01, 6.28925045e-04
1.80936512e-02, 2.60830522e-01, 5.78351202e-04
1.87549144e-02, 2.61369139e-01, 5.28145174e-04
1.93609018e-02, 2.61860132e-01, 4.80256480e-04
1.59185322e-03, 2.49430075e-01, 5.09260630e-04
2.08433717e-03, 2.49857262e-01, 5.75777609e-04
2.62611872e-03, 2.50331104e-01, 6.42493251e-04
3.22111556e-03, 2.50832498e-01, 7.07941654e-04
3.85473436e-03, 2.51360953e-01, 7.68644735e-04
4.51783556e-03, 2.51912266e-01, 8.22483911e-04
5.21055935e-03, 2.52477258e-01, 8.68620817e-04
5.92448842e-03, 2.53056198e-01, 9.05966794e-04
6.65458944e-03, 2.53647119e-01, 9.34235577e-04
